AC	GeneName	chr	strand	exonStart	exonEnd	upstreamEE	downstreamES	TCGA-2A-A8VL-01A	TCGA-2A-A8VO-01A	TCGA-2A-A8VT-01A	TCGA-2A-A8VV-01A	TCGA-2A-A8VX-01A	SRR1069209	SRR1069514	SRR1073069	SRR1074410	SRR1075126	SRR3146747	SRR3146769	SRR3146770	SRR3018011	SRR3018014	SRR4306657	SRR4306115	SRR4306118	SRR4306121	SRR4306381
ENSG00000121897.14_2	LIAS	chr4	+	39469137	39469266	39466962	39471638	0.9167	0.7778	0.8519	0.8846	0.8222	0.8462	0.6296	0.7143	1.0	0.875	0.5	0.9394	1.0	1.0	1.0	1.0	nan	0.6098	0.4444	0.8529
ENSG00000121897.14_2	LIAS	chr4	+	39469137	39470047	39466962	39471638	0.8667	0.5652	0.7778	0.8125	0.7241	0.875	0.5455	0.4286	1.0	0.8	0.0	0.9091	1.0	1.0	1.0	1.0	nan	0.5	0.0	0.7619
ENSG00000121897.14_2	LIAS	chr4	+	39469738	39470047	39469266	39471638	0.0476	0.0	0.0476	0.0	0.0286	0.4286	0.1579	0.0588	0.2222	0.1852	0.0	0.1176	0.0	0.1111	0.0	0.0345	nan	0.2381	0.0	0.0
ENSG00000121931.15_2	LRIF1	chr1	-	111493909	111495437	111492745	111506242	0.5111	0.6923	0.5975	0.4595	0.8333	0.6667	0.4167	0.5	0.7143	0.6667	0.8261	0.6552	0.45	0.6	0.3846	0.4899	nan	0.5	1.0	0.7605
ENSG00000121940.15_3	CLCC1	chr1	-	109504930	109505091	109493070	109505982	0.2075	0.4286	0.2568	0.2195	0.2	0.625	0.5	0.3333	0.7778	0.3571	0.4286	0.4194	0.1273	0.0512	0.2358	0.4211	nan	1.0	0.0	0.4348
ENSG00000121964.14_2	GTDC1	chr2	-	144714761	144714906	144710410	144728219	0.9184	0.7778	0.9375	0.9412	1.0	0.9	0.913	1.0	1.0	1.0	1.0	0.7872	0.3333	1.0	0.8621	0.7561	nan	0.8644	1.0	0.7818
ENSG00000121964.14_2	GTDC1	chr2	-	144714761	144714906	144710410	144764748	1.0	1.0	1.0	1.0	1.0	1.0	0.9286	0.7143	1.0	0.8462	1.0	0.5385	1.0	1.0	1.0	nan	nan	1.0	0.7959	0.7576
ENSG00000121964.14_2	GTDC1	chr2	-	144728219	144728329	144710410	144764748	1.0	1.0	1.0	1.0	1.0	1.0	0.8947	0.3333	1.0	0.8	1.0	0.5556	1.0	1.0	1.0	0.5	nan	1.0	0.3333	0.5789
ENSG00000121964.14_2	GTDC1	chr2	-	144764748	144765102	144728329	144899448	0.8222	0.7895	1.0	1.0	1.0	0.7143	1.0	1.0	0.8462	0.8261	1.0	0.9333	1.0	1.0	1.0	0.8696	nan	0.9091	1.0	0.9063
ENSG00000121964.14_2	GTDC1	chr2	-	144987807	144987889	144969146	144993242	0.1111	0.1111	0.0667	0.0	0.1429	0.0	0.0	0.0	0.3333	0.1667	0.0	0.0435	0.0909	0.1363	0.0	0.0224	nan	0.0	0.0	0.0256
ENSG00000122008.15_3	POLK	chr5	+	74842834	74842982	74807739	74848296	0.8182	1.0	0.8276	1.0	0.3333	1.0	1.0	1.0	1.0	0.7778	1.0	0.75	0.9355	1.0	1.0	0.9444	nan	1.0	nan	0.9565
ENSG00000122008.15_3	POLK	chr5	+	74889790	74889874	74886265	74892046	1.0	1.0	1.0	1.0	1.0	0.6154	0.8333	1.0	1.0	1.0	0.8667	1.0	1.0	1.0	0.7727	0.9315	1.0	1.0	1.0	0.9499
ENSG00000122033.14_2	MTIF3	chr13	-	28015153	28015214	28014586	28019224	0.1711	0.0331	0.0323	0.0522	0.0706	0.6604	0.1892	0.1259	0.1418	0.3333	0.0735	0.0294	0.0	0.0	0.0204	0.0536	nan	0.042	0.3731	0.0784
ENSG00000122033.14_2	MTIF3	chr13	-	28023988	28024055	28019293	28024200	0.2727	0.0	0.0526	0.1111	0.0	0.0	0.1174	0.0	0.0962	0.0	0.0	0.4149	0.0	nan	0.0	0.0184	nan	0.1309	0.0	0.0724
ENSG00000122085.16_3	MTERF4	chr2	-	242033691	242033844	242029459	242036657	1.0	1.0	0.9286	0.9512	0.7021	1.0	1.0	0.88	1.0	0.9726	1.0	0.8621	1.0	1.0	nan	0.8958	1.0	0.9728	1.0	0.7822
ENSG00000122085.16_3	MTERF4	chr2	-	242033691	242033844	242029459	242041667	0.9565	0.9333	1.0	0.9487	0.6538	1.0	0.9529	0.9535	0.968	0.9718	1.0	1.0	0.3333	1.0	nan	0.9294	1.0	0.9338	0.8876	0.8409
ENSG00000122085.16_3	MTERF4	chr2	-	242033691	242033847	242029459	242036657	1.0	1.0	0.9452	0.9592	0.7358	1.0	1.0	0.8824	1.0	0.9756	1.0	0.8857	1.0	1.0	1.0	0.9301	1.0	0.9739	1.0	0.8281
ENSG00000122085.16_3	MTERF4	chr2	-	242033691	242033847	242029459	242041667	0.9649	0.9412	1.0	0.9636	0.6897	1.0	0.9556	0.9545	0.9685	0.9756	1.0	1.0	0.5	1.0	nan	0.9375	1.0	0.9375	0.8925	0.8557
ENSG00000122085.16_3	MTERF4	chr2	-	242034544	242035853	242029459	242036657	nan	nan	nan	nan	nan	1.0	1.0	0.7692	1.0	0.9726	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ENSG00000122085.16_3	MTERF4	chr2	-	242034544	242035853	242033847	242036657	0.8727	0.7143	0.7821	0.7381	0.7705	0.8511	0.75	0.7143	0.8193	0.7684	0.6667	0.7255	0.7143	0.6389	0.6271	0.382	nan	0.8351	0.5821	0.6024
ENSG00000122085.16_3	MTERF4	chr2	-	242035807	242035853	242029459	242036657	nan	nan	nan	nan	nan	1.0	1.0	0.7143	1.0	0.9641	1.0	0.8824	1.0	1.0	1.0	0.7333	nan	0.8734	1.0	0.6807
ENSG00000122085.16_3	MTERF4	chr2	-	242035807	242035853	242033847	242036657	0.8691	0.7223	0.7829	0.7359	0.7625	0.8255	0.6589	0.7009	0.8065	0.7276	0.6863	0.6818	0.7576	0.4742	0.5232	0.2523	nan	0.6647	0.0897	0.4225
ENSG00000122085.16_3	MTERF4	chr2	-	242036657	242036842	242029459	242041667	0.9167	0.875	1.0	0.9048	0.5714	1.0	0.8	0.8	0.75	0.8571	1.0	1.0	0.6923	1.0	1.0	0.8667	nan	0.2857	0.0	0.7308
ENSG00000122085.16_3	MTERF4	chr2	-	242036657	242036842	242033847	242041667	0.5686	0.7143	0.6944	0.4603	0.6	0.641	0.7297	0.8182	0.871	0.5	0.7143	0.7895	0.7143	1.0	1.0	0.7876	nan	0.3571	0.3889	0.75
ENSG00000122085.16_3	MTERF4	chr2	-	242038810	242039309	242029459	242041667	0.9756	0.9677	1.0	0.9759	0.6538	1.0	0.8947	0.8947	0.9375	0.9512	1.0	1.0	0.7143	1.0	1.0	0.8125	1.0	0.5455	0.375	0.6316
ENSG00000122085.16_3	MTERF4	chr2	-	242038810	242039309	242033847	242041667	0.7864	0.8551	0.8848	0.7069	0.68	0.7407	0.7727	0.8947	0.9298	0.6452	0.8824	0.871	0.7333	1.0	1.0	0.5385	1.0	0.4	0.2143	0.5455
ENSG00000122085.16_3	MTERF4	chr2	-	242038810	242039309	242036842	242041667	0.7672	0.7586	0.7898	0.7677	0.6092	0.7791	0.7288	0.8684	0.8389	0.8406	0.8286	0.7778	0.5263	0.7966	0.7348	0.4646	1.0	0.9184	1.0	0.6087
ENSG00000122126.15_3	OCRL	chrX	+	128718320	128718344	128710529	128720978	0.1483	0.2271	0.1289	0.2671	0.0915	0.1552	0.2862	0.0986	0.1131	0.0711	0.0	0.7373	0.8032	0.2654	0.7314	0.2149	nan	0.1863	0.0829	0.3716
ENSG00000122133.16_3	PAEP	chr9	+	138456089	138456200	138454739	138457255	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	1.0	nan	0.6471	nan	nan
ENSG00000122145.14_2	TBX22	chrX	+	79278558	79278735	79277943	79279561	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ENSG00000122145.14_2	TBX22	chrX	+	79278558	79278739	79277943	79279561	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ENSG00000122194.18_2	PLG	chr6	+	161135825	161135946	161134157	161137676	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ENSG00000122194.18_2	PLG	chr6	+	161155026	161155120	161152925	161157918	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ENSG00000122203.14_2	KIAA1191	chr5	-	175777615	175777740	175775359	175786483	0.9804	0.963	0.9444	0.963	0.9474	1.0	0.9329	1.0	0.9706	0.9167	0.9259	0.7551	0.871	0.92	0.935	0.8915	1.0	0.8485	1.0	0.8698
ENSG00000122203.14_2	KIAA1191	chr5	-	175782573	175782752	175775359	175786483	0.9615	0.9583	0.9351	0.9375	0.9245	1.0	0.8864	1.0	0.9512	0.8261	nan	nan	nan	0.9	0.5493	0.8232	1.0	0.5652	1.0	0.8174
ENSG00000122203.14_2	KIAA1191	chr5	-	175782573	175782752	175775359	175786813	0.8	0.5556	0.8125	1.0	0.5	1.0	0.3333	1.0	0.6364	0.5556	nan	nan	nan	nan	1.0	0.6471	nan	0.8182	1.0	0.7255
ENSG00000122203.14_2	KIAA1191	chr5	-	175782573	175782752	175777740	175786813	1.0	1.0	0.9286	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.2	0.873	nan	nan	nan	nan
ENSG00000122203.14_2	KIAA1191	chr5	-	175786464	175786570	175782752	175786813	0.7714	0.8	0.7292	0.8485	0.8571	0.8333	0.9348	0.7273	0.8228	0.8571	0.7255	0.7	1.0	nan	0.75	0.6181	1.0	0.4706	0.8261	0.7422
ENSG00000122203.14_2	KIAA1191	chr5	-	175786483	175786570	175782752	175786813	0.8644	0.8936	0.8556	0.92	0.9238	0.8966	0.9645	0.8421	0.8793	0.913	0.8028	0.8154	1.0	1.0	0.9566	0.7563	1.0	0.634	0.8554	0.8535
ENSG00000122254.6_2	HS3ST2	chr16	+	22865984	22866102	22826416	22926264	1.0	0.3333	1.0	0.6	nan	nan	0.7143	nan	1.0	1.0	1.0	nan	nan	0.3077	nan	0.8462	nan	0.5652	0.25	0.6
ENSG00000122257.18_3	RBBP6	chr16	+	24579112	24579214	24578826	24580065	0.5556	0.5556	0.7353	0.7273	0.7778	0.6438	0.551	0.6923	0.4	0.6735	0.5385	0.6596	0.3659	0.6	0.7028	0.5581	nan	0.6	0.7727	0.7354
ENSG00000122299.11_2	ZC3H7A	chr16	-	11862886	11862951	11862357	11864638	1.0	0.9512	0.974	1.0	1.0	0.85	0.9535	1.0	0.89	0.899	0.3725	0.8916	0.8292	0.8621	0.6205	0.9501	nan	0.884	1.0	0.9374
ENSG00000122299.11_2	ZC3H7A	chr16	-	11890074	11890271	11876244	11890979	0.2	0.0909	0.0448	0.0833	0.1667	0.0	0.0	0.0	0.0476	0.0	0.0909	0.2857	nan	0.0323	0.0127	0.1053	nan	0.0	0.2857	0.0526
ENSG00000122335.13_2	SERAC1	chr6	-	158576346	158576383	158571621	158579304	1.0	1.0	0.5311	0.6295	1.0	1.0	0.6696	nan	0.8439	1.0	0.1838	0.8439	1.0	1.0	0.7862	0.6154	nan	0.7862	nan	0.8078
ENSG00000122359.17_3	ANXA11	chr10	-	81935862	81935911	81932625	81965098	0.743	0.7843	0.7555	0.7504	0.6897	0.7998	0.7192	0.5621	0.6898	0.7486	0.9325	0.6182	0.7591	0.7906	0.7665	0.7063	1.0	0.6559	0.7704	0.6427
ENSG00000122367.19_3	LDB3	chr10	+	88441192	88441560	88439914	88445434	1.0	0.2432	nan	0.84	0.8	0.7895	0.8261	0.5	0.8788	1.0	nan	1.0	0.2727	nan	1.0	0.9487	nan	1.0	nan	1.0
ENSG00000122367.19_3	LDB3	chr10	+	88445434	88445457	88439914	88446825	nan	1.0	nan	1.0	1.0	0.6073	0.635	1.0	1.0	0.0	nan	nan	nan	nan	nan	0.45	nan	nan	nan	nan
ENSG00000122367.19_3	LDB3	chr10	+	88445434	88445457	88439914	88451652	nan	nan	nan	nan	nan	1.0	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ENSG00000122367.19_3	LDB3	chr10	+	88445434	88445457	88441560	88446825	nan	1.0	nan	0.0	0.0	0.0	0.2601	nan	0.0	0.0	nan	0.0	0.0	nan	nan	0.0	nan	nan	nan	nan
ENSG00000122367.19_3	LDB3	chr10	+	88446825	88447029	88439914	88451652	nan	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	nan	nan	nan	nan	1.0	0.8889	nan	nan	nan	nan
ENSG00000122367.19_3	LDB3	chr10	+	88446825	88447029	88441560	88451652	0.0	0.8889	0.2	0.1875	0.6667	0.5714	0.4943	0.6923	0.2	0.5714	nan	0.3333	1.0	0.0	1.0	0.3623	nan	0.6	nan	0.0
ENSG00000122367.19_3	LDB3	chr10	+	88466287	88466476	88452328	88469661	0.0	0.3333	0.0	0.0667	0.0	0.0286	0.082	0.25	0.1111	0.0769	nan	1.0	nan	1.0	1.0	0.7808	nan	0.5	nan	1.0
ENSG00000122367.19_3	LDB3	chr10	+	88476083	88476528	88469807	88485893	nan	nan	nan	nan	nan	1.0	1.0	0.8182	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ENSG00000122376.11_3	FAM35A	chr10	+	88935645	88935852	88930731	88939831	0.7431	0.6854	0.6795	0.7121	0.5882	0.6111	0.5306	0.6316	0.6636	0.6207	0.8571	0.8947	0.7778	nan	0.6152	0.7347	1.0	0.6389	0.775	0.791
ENSG00000122390.17_3	NAA60	chr16	+	3497481	3497620	3493827	3498470	0.3913	0.6667	0.4194	0.2308	0.4118	0.1282	0.75	0.4286	0.8333	0.1429	0.0	0.3333	0.1429	0.4167	0.1667	1.0	nan	1.0	0.4286	0.8947
ENSG00000122390.17_3	NAA60	chr16	+	3497481	3497620	3493837	3498470	0.3846	0.6667	0.4286	0.6364	0.3333	0.2222	0.3333	0.6667	0.3333	0.0	0.0	0.7143	1.0	0.6	1.0	1.0	nan	0.4667	1.0	0.619
ENSG00000122406.12_2	RPL5	chr1	+	93299101	93299217	93297674	93301746	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	nan	nan	1.0	0.9535	nan	1.0	nan	1.0
ENSG00000122417.15_3	ODF2L	chr1	-	86821027	86821066	86820542	86822126	0.0	0.1214	0.0732	0.0996	0.0844	0.0595	0.2318	0.028	0.1504	0.1423	0.0	0.0622	0.0	0.0745	0.2971	0.1616	nan	0.266	0.0367	0.1344
ENSG00000122417.15_3	ODF2L	chr1	-	86821027	86821066	86820542	86824469	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ENSG00000122417.15_3	ODF2L	chr1	-	86821027	86821071	86820542	86822126	0.0694	0.1155	0.0694	0.0946	0.0801	0.108	0.2241	0.0269	0.1449	0.2412	0.0	0.0598	0.0	0.0721	0.2994	0.271	nan	0.3331	0.0686	0.1303
ENSG00000122417.15_3	ODF2L	chr1	-	86822126	86822285	86820542	86824469	0.5294	0.3333	0.2	0.6667	0.8333	0.4622	0.8333	0.7436	0.5185	0.6522	0.7	0.56	0.1429	0.8333	0.7707	0.2549	nan	0.6316	0.6901	0.1807
ENSG00000122417.15_3	ODF2L	chr1	-	86847924	86848041	86842101	86848613	1.0	1.0	0.7778	0.84	1.0	0.9184	0.931	0.8667	1.0	0.8667	1.0	0.9245	1.0	1.0	0.8647	0.8273	nan	1.0	1.0	1.0
ENSG00000122417.15_3	ODF2L	chr1	-	86851140	86851273	86850484	86852597	1.0	1.0	0.6522	0.8667	0.5556	0.9048	1.0	1.0	0.7143	1.0	1.0	0.8	nan	1.0	0.7805	0.5043	nan	0.0909	1.0	0.6667
ENSG00000122435.9_2	TRMT13	chr1	+	100605737	100605807	100605267	100605963	0.6667	1.0	0.8182	0.875	0.6667	1.0	0.7225	0.4386	1.0	0.923	1.0	0.8985	1.0	0.7802	0.3577	0.6735	nan	0.7341	0.703	0.9045
ENSG00000122481.16_3	RWDD3	chr1	+	95705332	95705366	95699871	95712311	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ENSG00000122481.16_3	RWDD3	chr1	+	95705332	95705465	95699871	95709766	0.2615	0.1818	0.2522	0.1864	0.2432	0.2903	0.3182	0.1111	0.2857	0.0588	0.6	0.8333	0.1429	0.1359	0.2449	0.2609	nan	0.1538	0.1515	0.3214
ENSG00000122481.16_3	RWDD3	chr1	+	95705332	95705465	95699871	95712097	0.1765	1.0	0.25	0.4	0.0909	0.0	0.4545	0.3333	0.3333	0.0	1.0	0.4286	1.0	0.3448	0.0	0.1628	nan	nan	nan	nan
ENSG00000122481.16_3	RWDD3	chr1	+	95709766	95710254	95699871	95712097	0.7586	1.0	0.8065	0.8605	0.5455	0.8125	0.85	0.8	0.7931	0.9375	1.0	0.6923	1.0	0.8304	0.3665	0.3898	nan	1.0	0.5294	0.8039
ENSG00000122481.16_3	RWDD3	chr1	+	95709766	95710254	95699871	95712311	0.7838	0.76	0.8125	0.7273	0.5625	0.7333	0.5333	1.0	0.625	0.8095	0.6	0.0588	1.0	0.9006	0.5362	0.8333	nan	0.8667	1.0	0.6774
ENSG00000122481.16_3	RWDD3	chr1	+	95709766	95710271	95699871	95712311	0.7778	0.7692	0.8	0.7073	0.5625	0.75	0.5882	1.0	0.5556	0.8	0.5	0.1111	1.0	0.8989	0.5362	0.8261	nan	0.8462	1.0	0.6552
ENSG00000122481.16_3	RWDD3	chr1	+	95710120	95710207	95699871	95712097	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.2	nan	0.2206	0.0405	nan	nan	1.0	0.2119	0.177
ENSG00000122481.16_3	RWDD3	chr1	+	95712097	95712213	95699871	95712311	0.9091	0.8537	0.8846	0.7966	0.8654	0.9652	0.7742	1.0	0.8065	0.92	0.5	0.7143	1.0	0.8676	0.8342	0.9149	nan	0.8571	1.0	0.8333
ENSG00000122481.16_3	RWDD3	chr1	+	95712097	95712213	95710254	95712311	0.9029	0.9583	0.8647	0.7808	0.9238	1.0	0.9697	0.9512	0.8462	0.9672	0.5	1.0	1.0	0.9403	1.0	0.8378	nan	0.8	1.0	0.9437
ENSG00000122482.20_2	ZNF644	chr1	-	91403041	91403647	91383711	91447866	0.913	0.875	0.9107	0.8507	0.8519	0.84	0.8095	1.0	0.9444	0.6522	nan	nan	nan	1.0	0.9245	0.8462	nan	0.6522	1.0	0.8168
ENSG00000122482.20_2	ZNF644	chr1	-	91403828	91406866	91383711	91447866	nan	nan	nan	nan	nan	0.5	0.2727	1.0	0.8333	0.3333	0.8824	0.5385	1.0	nan	nan	nan	nan	nan	nan	nan
ENSG00000122490.18_2	PQLC1	chr18	-	77679183	77679400	77664183	77693968	0.9494	0.8442	0.9359	1.0	0.945	0.9231	0.985	0.9259	0.9716	0.9434	0.9167	0.8615	0.9266	0.8253	1.0	0.9579	1.0	0.8428	1.0	0.9845
ENSG00000122490.18_2	PQLC1	chr18	-	77679183	77679400	77664183	77703328	0.7193	0.8286	0.8107	0.8	0.7047	0.686	0.8039	0.7757	0.7304	0.7986	0.561	0.8776	0.7432	0.8535	0.7196	0.7899	0.6863	0.7408	0.8393	0.9328
ENSG00000122490.18_2	PQLC1	chr18	-	77690227	77690311	77664183	77693968	0.2	0.0769	0.3333	1.0	0.0	0.5172	0.8333	0.4	0.6667	0.7	0.5	0.28	0.0	0.021	1.0	0.2898	nan	0.0572	1.0	0.6567
ENSG00000122490.18_2	PQLC1	chr18	-	77690227	77690311	77664183	77703328	0.0857	0.0769	0.1795	0.0714	0.0638	0.0843	0.1429	0.0	0.0462	0.1515	0.0526	0.0769	0.0	0.0	0.0	0.1236	0.0	0.0	0.0572	0.2983
ENSG00000122490.18_2	PQLC1	chr18	-	77690227	77690311	77679400	77693968	0.037	0.0313	0.0536	0.0769	0.0789	0.1773	0.211	0.2157	0.1479	0.2927	0.0588	0.0973	0.0	0.0081	0.1165	0.0482	0.0	0.0884	0.0	0.0746
ENSG00000122490.18_2	PQLC1	chr18	-	77690227	77690311	77679400	77703328	0.0571	0.04	0.0833	0.0575	0.1084	0.1318	0.2045	0.1111	0.186	0.1579	0.0	0.0909	0.0	0.0	0.0671	0.0575	0.0	0.0359	0.0	0.065
ENSG00000122490.18_2	PQLC1	chr18	-	77693968	77694022	77664183	77703328	0.4483	0.6923	0.6049	0.5	0.3973	0.4928	0.6268	0.6241	0.4859	0.6722	0.3425	0.8242	0.5584	0.6602	0.5112	0.5091	0.0	0.4296	0.4856	0.7574
ENSG00000122490.18_2	PQLC1	chr18	-	77693968	77694022	77679400	77703328	0.431	0.52	0.5243	0.4058	0.4519	0.544	0.5873	0.5163	0.6658	0.5235	0.4941	0.6784	0.4979	0.6019	0.4769	0.4321	0.6364	0.3106	0.3793	0.4683
ENSG00000122490.18_2	PQLC1	chr18	-	77693968	77694022	77690311	77703328	0.8065	0.9167	0.8519	0.875	0.8125	0.929	0.8819	1.0	0.9201	0.9435	1.0	1.0	1.0	1.0	1.0	0.839	nan	1.0	1.0	0.8449
ENSG00000122490.18_2	PQLC1	chr18	-	77709518	77709655	77703462	77710723	0.0566	0.0495	0.0487	0.0364	0.0275	0.1213	0.0784	0.0476	0.0526	0.0698	0.0455	0.049	0.0683	0.0347	0.0	0.0617	0.0	0.0142	0.0382	0.0279
ENSG00000122515.14_3	ZMIZ2	chr7	+	44789413	44789579	44788590	44795786	0.0244	0.0	0.0894	0.0645	0.0	0.0625	0.0	0.0526	0.0545	0.0	0.0526	0.1739	0.0	0.1142	0.0409	0.0744	0.0	0.0427	0.0	0.0488
ENSG00000122515.14_3	ZMIZ2	chr7	+	44799749	44799827	44799059	44800023	0.5532	0.3902	0.5911	0.5882	0.4324	0.5701	0.4095	0.3889	0.5385	0.6341	0.4286	0.6074	0.4286	0.591	0.6502	0.4514	0.6048	0.8045	0.8412	0.5403
ENSG00000122545.18_3	SEPT7	chr7	+	35870962	35871106	35840880	35872407	0.4286	0.5	0.8095	0.6364	0.5	1.0	0.8462	1.0	1.0	1.0	0.2	0.4	1.0	0.0	0.3889	0.3671	nan	0.4286	nan	0.5579
ENSG00000122545.18_3	SEPT7	chr7	+	35871034	35871106	35840880	35872407	0.4286	0.5	0.8182	0.6364	0.5	1.0	0.8496	1.0	1.0	1.0	0.2044	0.4065	1.0	0.0	0.3471	0.4193	nan	0.4673	nan	0.6093
ENSG00000122545.18_3	SEPT7	chr7	+	35871104	35871106	35840880	35872407	0.9297	0.9272	0.9575	0.9477	0.9073	1.0	0.9638	1.0	1.0	1.0	0.7979	0.8833	1.0	0.6645	0.94	0.7828	nan	0.9304	1.0	0.804
ENSG00000122550.17_3	KLHL7	chr7	+	23157452	23157583	23145765	23163395	0.25	0.25	0.1858	0.2	0.2414	0.1818	0.0286	0.2	0.0	0.2941	0.1351	0.05	0.0	0.0993	0.1278	0.1111	0.0	nan	0.0	0.1512
ENSG00000122557.9_3	HERPUD2	chr7	-	35709824	35709938	35707198	35733793	0.8667	0.5789	0.8701	0.8235	0.84	1.0	0.9655	1.0	1.0	1.0	0.5385	0.8824	1.0	1.0	0.9645	0.7476	1.0	1.0	1.0	0.6589
ENSG00000122557.9_3	HERPUD2	chr7	-	35712810	35712888	35707198	35733793	0.8621	0.6923	0.8684	0.8182	0.8333	1.0	0.9355	1.0	1.0	1.0	0.5	0.8788	1.0	1.0	0.9685	0.7668	1.0	1.0	1.0	0.6392
ENSG00000122566.20_2	HNRNPA2B1	chr7	-	26230612	26230748	26230080	26232114	0.8993	0.9141	0.8973	0.8875	0.7826	0.9815	0.9577	0.9838	0.9457	0.9928	1.0	0.9631	1.0	0.4595	0.92	0.3136	1.0	0.8793	0.9337	0.911
ENSG00000122566.20_2	HNRNPA2B1	chr7	-	26237450	26237486	26237352	26240191	0.143	0.1327	0.1463	0.1357	0.1286	0.1552	0.198	0.1469	0.1745	0.1303	0.1151	0.1502	0.2104	0.1648	0.1357	0.1825	0.0871	0.1902	0.1336	0.1729
ENSG00000122591.11_2	FAM126A	chr7	-	22986570	22986866	22985782	22999874	0.6667	1.0	0.3333	1.0	0.1429	0.6923	0.6923	1.0	1.0	0.8333	0.5714	0.25	0.0	1.0	0.5417	0.2059	nan	0.76	0.3333	0.3103
ENSG00000122591.11_2	FAM126A	chr7	-	22986651	22986866	22985782	22999874	0.6	nan	0.2727	1.0	0.3333	0.5	0.6522	1.0	1.0	0.7143	0.5	0.2	0.0	1.0	0.4054	0.122	nan	0.6667	0.3333	0.2857
ENSG00000122643.18_3	NT5C3A	chr7	-	33075545	33075600	33066527	33102179	0.4194	0.4857	0.5625	0.4468	0.6098	0.4713	0.5757	0.7307	0.3676	0.8481	0.4367	0.4921	0.3264	0.1604	0.5218	0.2132	nan	0.2062	0.7265	0.199
ENSG00000122644.12_3	ARL4A	chr7	+	12727259	12727353	12726668	12727790	0.5	0.5	0.6923	0.7143	0.4762	0.5556	0.75	0.6	0.6842	0.7333	0.5	0.0909	0.1111	nan	0.5089	0.2021	0.0	0.4204	0.8311	0.138
ENSG00000122678.16_3	POLM	chr7	-	44113729	44113819	44113624	44113996	0.7778	1.0	0.8571	0.7895	0.8333	0.8684	0.9091	1.0	0.8065	0.84	0.8	0.8947	1.0	0.8195	0.6858	0.8477	1.0	0.821	0.9123	0.7678
ENSG00000122678.16_3	POLM	chr7	-	44113729	44113832	44113624	44113996	0.7895	1.0	0.8571	0.7838	0.8462	0.8837	0.913	1.0	0.8	0.8367	0.8333	0.875	1.0	0.808	0.6735	0.8586	1.0	0.8235	0.9231	0.7624
ENSG00000122678.16_3	POLM	chr7	-	44116107	44116228	44114129	44118338	0.8049	0.8	0.8353	0.9524	0.9459	0.9143	0.7895	0.9412	0.8065	0.9672	1.0	0.9355	1.0	0.8438	0.85	0.8765	nan	0.5854	0.7101	0.8636
ENSG00000122678.16_3	POLM	chr7	-	44116107	44116228	44114129	44118354	0.8462	1.0	0.8	0.9167	0.8	1.0	0.8378	0.8889	1.0	0.8974	0.8182	0.7143	0.8182	0.726	0.8049	0.6296	0.0	0.7826	0.8	0.4
ENSG00000122678.16_3	POLM	chr7	-	44119169	44119340	44118410	44120331	0.8095	1.0	1.0	1.0	1.0	0.7231	0.8919	1.0	0.9545	0.8846	1.0	1.0	1.0	0.9444	0.7349	0.8529	nan	0.9273	1.0	0.8438
ENSG00000122678.16_3	POLM	chr7	-	44119459	44119558	44118410	44120331	0.8261	1.0	1.0	1.0	1.0	0.7568	0.84	1.0	0.9535	0.8636	1.0	1.0	1.0	0.9043	0.7678	0.8801	1.0	0.9409	1.0	0.8319
ENSG00000122687.17_3	MRM2	chr7	-	2277649	2278572	2275199	2279052	0.2113	0.2703	0.3655	0.113	0.1852	0.1481	0.1951	0.375	0.4333	0.1579	0.2308	0.1111	0.2727	0.1944	0.2174	0.1942	0.358	0.2857	0.0787	0.3372
ENSG00000122729.18_2	ACO1	chr9	+	32386368	32386436	32384733	32405482	0.1034	0.1111	0.1304	0.0345	0.375	0.3456	0.1001	0.0	0.0	0.0	0.0	0.0	0.033	0.0152	0.0075	0.0081	nan	0.0	0.0	0.0096
